aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
25,6.1,5bc8216d41fdcdf1939d9b6c,Sekatak Bengara,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,98,3.08757,117.21345,pm25,1010,North Kalimantan,22,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b6c?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,355,0.4,"Open your windows to bring clean, fresh air indoors",green
46,11.1,5bc8216d41fdcdf1939d9b43,Kajeung,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,93,4.51385,96.13244,pm25,1010,Aceh,21,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b43?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,36,4.6,"Open your windows to bring clean, fresh air indoors",green
25,6.1,5bc8216d41fdcdf1939d9b6e,Kerangagung,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,98,3.00123,117.21714,pm25,1010,North Kalimantan,22,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b6e?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,355,0.4,"Open your windows to bring clean, fresh air indoors",green
57,15.1,5bc8216d41fdcdf1939d9b76,Pulautemiang,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,98,-1.22495,102.24228,pm25,1010,Jambi,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b76?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,336,3.6,Close your windows to avoid dirty outdoor air,red
46,11.1,5bc8216841fdcdf1939d97b3,Muara Dua,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,84,-4.53178,104.07397,pm25,1009,South Sumatra,19,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97b3?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,259,2.7,"Open your windows to bring clean, fresh air indoors",green
38,9.1,5bc8216841fdcdf1939d97cb,Matur,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,80,-0.27877,100.28802,pm25,1010,West Sumatra,17,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97cb?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,285,3,"Open your windows to bring clean, fresh air indoors",green
38,9.1,5bc8216841fdcdf1939d97b5,Muara Bulian,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,97,-1.71327,103.25902,pm25,1010,Jambi,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97b5?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,307,4.5,"Open your windows to bring clean, fresh air indoors",green
46,11.1,5bc8216d41fdcdf1939d9b81,Tanta,city,Rain,Indonesia,Enjoy outdoor activities,green,97,-2.2285,115.4522,pm25,1008,South Kalimantan,23,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b81?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,205,2.4,"Open your windows to bring clean, fresh air indoors",green
21,5.1,5bc8216841fdcdf1939d97c6,Meliau,city,Rain,Indonesia,Enjoy outdoor activities,green,99,-0.12533,110.28962,pm25,1009,West Kalimantan,22,Asia/Pontianak,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97c6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,91,1.2,"Open your windows to bring clean, fresh air indoors",green
142,52.2,5bc8215341fdcdf1939d888f,Bakau,city,Broken clouds,Gambia,Everyone should reduce outdoor exercise,red,69,13.47806,-16.68194,pm25,1012,Banjul,25,Africa/Banjul,https://website-api.airvisual.com/v1/cities/5bc8215341fdcdf1939d888f?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,5.4,Close your windows to avoid dirty outdoor air,red
13,3.1,5bc8216841fdcdf1939d97d2,Marisa,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,81,0.4655,121.9386,pm25,1009,Gorontalo,21,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97d2?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,6,7.2,"Open your windows to bring clean, fresh air indoors",green
