aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
51,12.1,5b7a94b36a15c1ae2d8a98a8,Teluk Nibung,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,78,3.001,99.8164,pm25,1010,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,101,10.9,Close your windows to avoid dirty outdoor air,red
59,16.1,5b7a94b36a15c1ae2d8a98b1,Percut,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.6253,98.864,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b1?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
243,192.5,wGKtyd6zFNzgZTxwD,Bogor,city,Broken clouds,Indonesia,Avoid outdoor exercise,red,74,-6.597146899999999,106.80603880000001,pm25,1009,West Java,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/wGKtyd6zFNzgZTxwD?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,330,24.1,Close your windows to avoid dirty outdoor air,red
66,19.1,5b7a94b36a15c1ae2d8a98ac,Sunggal,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.5765,98.6151,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ac?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
64,18.1,5b7a94b36a15c1ae2d8a98b7,Labuhan Deli,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.7278,98.6738,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b7?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
42,10.1,5b7a94b36a15c1ae2d8a98b0,Parapat,city,Rain,Indonesia,Enjoy outdoor activities,green,81,2.663,98.9349,pm25,1010,North Sumatra,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b0?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,37,3.9,"Open your windows to bring clean, fresh air indoors",green
46,11.1,5b7a94b36a15c1ae2d8a98af,Rantauprapat,city,Rain,Indonesia,Enjoy outdoor activities,green,70,2.1,99.83333,pm25,1010,North Sumatra,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98af?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,185,3.2,"Open your windows to bring clean, fresh air indoors",green
66,19.1,5b7a94b36a15c1ae2d8a98ba,Deli Tua,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.5078,98.6839,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ba?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
46,11.1,5b7a94b36a15c1ae2d8a98b9,Kabanjahe,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,74,3.1001,98.4908,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b9?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,"Open your windows to bring clean, fresh air indoors",green
55,14.1,5b7a94b36a15c1ae2d8a98ad,Stabat,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.73335,98.45025,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ad?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98b2,Perbaungan,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.5679,98.956,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b2?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
21,5.1,5b7a94b46a15c1ae2d8a98c7,Meulaboh,city,Clear sky,Indonesia,Enjoy outdoor activities,green,71,4.14402,96.12664,pm25,1010,Aceh,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c7?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,198,8.9,"Open your windows to bring clean, fresh air indoors",green
13,3.1,5b7a94b46a15c1ae2d8a98c3,Sinabang,city,Clear sky,Indonesia,Enjoy outdoor activities,green,67,2.4803,96.3801,pm25,1009,Aceh,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b46a15c1ae2d8a98c3?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,355,5,"Open your windows to bring clean, fresh air indoors",green
51,12.1,5b7a94b36a15c1ae2d8a98b8,Kisaran,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,67,2.9845,99.6158,pm25,1010,North Sumatra,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,127,4.2,Close your windows to avoid dirty outdoor air,red
